Date,Price,Open,High,Low,Vol.,Change %
08/20/1997,1206.34,1190.93,1206.34,1190.93,,1.30%
08/19/1997,1190.81,1182.15,1190.81,1182.15,,0.74%
08/18/1997,1182.03,1190.82,1190.82,1180.99,,-0.74%
08/14/1997,1190.81,1176.19,1190.81,1176.19,,1.29%
08/13/1997,1175.62,1180.13,1181.22,1175.62,,-0.37%
08/12/1997,1180,1192.17,1192.17,1180,,-1.01%
08/11/1997,1192.05,1208.26,1208.26,1192.05,,-1.28%
08/08/1997,1207.46,1214,1214,1203.76,,-0.53%
08/07/1997,1213.88,1216.03,1216.4,1209.9,,-0.17%
08/06/1997,1215.9,1207.93,1215.9,1205.77,,0.75%
08/05/1997,1206.9,1224.36,1224.36,1206.9,,-1.39%
08/04/1997,1223.89,1222.11,1223.89,1217.15,,0.16%
08/01/1997,1221.98,1207.7,1221.98,1207.7,,1.19%
07/31/1997,1207.57,1212.88,1212.88,1207.44,,-0.43%
07/30/1997,1212.75,1204.89,1212.75,1204.89,,0.66%
07/29/1997,1204.76,1198.47,1204.76,1197.84,,0.53%
07/28/1997,1198.35,1212.31,1212.31,1197.01,,-1.15%
07/25/1997,1212.3,1197.23,1212.3,1197.23,,1.34%
07/24/1997,1196.32,1181.25,1196.32,1181.25,,1.30%
07/23/1997,1181.02,1161.9,1181.02,1161.9,,1.66%
07/22/1997,1161.77,1146.81,1161.77,1146.81,,1.31%
07/21/1997,1146.7,1172.92,1172.92,1146.7,,-2.04%
07/18/1997,1170.55,1184.18,1184.18,1170.55,,-1.13%
07/17/1997,1183.94,1194.76,1194.76,1183.94,,-0.89%
07/16/1997,1194.63,1182.15,1194.63,1182.15,,1.07%
07/15/1997,1182.03,1206.12,1206.12,1181.44,,-1.91%
07/14/1997,1205.1,1213.33,1213.33,1200.5,,-0.63%
07/11/1997,1212.75,1223.23,1223.23,1212.75,,-0.81%
07/10/1997,1222.65,1227.4,1227.4,1222.4,,-0.38%
07/09/1997,1227.27,1226.83,1229.26,1224.63,,0.05%
07/08/1997,1226.71,1224.92,1226.71,1220.72,,0.16%
07/07/1997,1224.79,1236.06,1236.06,1222.72,,-0.90%
07/04/1997,1235.93,1230.66,1235.93,1226.3,,0.44%
07/03/1997,1230.53,1217.72,1230.53,1217.72,,1.06%
07/02/1997,1217.59,1203.42,1217.59,1203.42,,1.19%
07/01/1997,1203.3,1184.97,1203.3,1184.97,,1.56%
06/30/1997,1184.84,1185.53,1185.53,1178.09,,-0.05%
06/27/1997,1185.41,1184.63,1186.97,1180.44,,0.08%
06/26/1997,1184.51,1185.53,1185.53,1178.2,,-0.08%
06/25/1997,1185.41,1193.07,1193.07,1185.35,,-0.63%
06/24/1997,1192.95,1184.4,1192.95,1182.8,,0.73%
06/23/1997,1184.28,1197.01,1197.01,1184.28,,-1.05%
06/20/1997,1196.88,1198.7,1198.7,1192.38,,-0.14%
06/19/1997,1198.57,1192.39,1198.57,1191.93,,0.53%
06/18/1997,1192.27,1199.37,1199.37,1192.04,,-0.58%
06/17/1997,1199.25,1210.4,1210.4,1199.25,,-0.91%
06/16/1997,1210.28,1226.27,1226.27,1193.51,,-1.28%
06/13/1997,1226.03,1234.6,1234.6,1226.03,,-0.68%
06/12/1997,1234.47,1213.89,1234.47,1213.89,,1.71%
06/11/1997,1213.76,1190.37,1213.76,1190.37,,2.01%
06/10/1997,1189.79,1177.76,1189.79,1177.76,,1.03%
06/09/1997,1177.64,1176.19,1177.84,1173.41,,-0.08%
06/05/1997,1178.54,1200.27,1200.27,1178.54,,-1.80%
06/04/1997,1200.15,1201.62,1206.1,1200.15,,-0.11%
06/03/1997,1201.5,1202.3,1202.3,1195.88,,-0.11%
06/02/1997,1202.85,1169.89,1202.85,1169.89,,2.83%
05/30/1997,1169.76,1151.65,1169.76,1151.65,,2.15%
05/28/1997,1145.12,1137.36,1145.12,1137.36,,0.71%
